"	brewery names	business type	address	city	zip	lat	long	yelp rating	number of yelp reviews",
"101	Belching Beaver Brewery Tavern & Grill	Breweries	302 E Broadway	Vista	92084	33.2021	-117.24113	4.0	659",
"102	Belching Beaver Pub980	Breweries	980 Park Center Dr	Vista	92081	33.1449653992113	-117.22874231176	4.5	423",
"103	Belmont Brewing	Breweries	25 39th Pl	Long Beach	90803	33.759361	-118.148117	3.5	1480",
"104	Benoit-Casper Brewing	Breweries	1201 Pennsylvania Ave	Richmond	94801	37.94241	-122.35796	4.5	22",
"105	Berryessa Brewing Company	Breweries	27260 Hwy 128	Winters	95694	38.5146895206581	-122.002428792971	4.5	164",
"106	Big Bear Lake Brewing Company	Breweries	40827 Stone Rd	Big Bear Lake	92315	34.242516	-116.911008	3.5	1421",
"107	Big Bear Mountain Brewery	Pubs	40260 Big Bear Blvd	Big Bear Lake	92315	34.2391	-116.92356	3.0	478",
"108	Big Meadow Brewing	Breweries	241 Main St	Bridgeport	93517	38.2556930722912	-119.227701723576	5.0	17",
"109	Big Sexy Brewing Company	Breweries	5861 88th St	Sacramento	95828	38.5201	-121.37519	4.5	64",
"110	Big Stump Brew Company	Breweries	1716 L St	Sacramento	95811	38.575238725568	-121.484233910877	4.5	142",
"111	Bike Dog Brewing Co	Breweries	2534 Industrial Blvd	West Sacramento	95691	38.566263	-121.543518	4.5	203",
"112	Bird Street Brewing	Breweries	242 Heinlen St	Lemoore	93245	36.30155	-119.78457	4.5	7",
"113	BJ's Restaurant & Brewhouse	Pizza	511 Coleman Ave	San Jose	95110	37.340565	-121.903974	2.5	977",
"114	Bitter Brothers Brewing	Breweries	4170 Morena Blvd	San Diego	92117	32.8158975404079	-117.220202386379	4.5	88",
"115	BJ's Restaurant & Brewhouse	American (New)	600 Brea Mall Dr	Brea	92821	33.912978	-117.889324	3.0	911",
"116	BJ's Restaurant & Brewhouse	Pizza	2917 Eastland Center Dr	West Covina	91791	34.072369	-117.883645	3.0	988",
"117	Black Cock Brewing Company	Breweries	1444 N Batavia St	Orange	92867	33.8113642	-117.8625749	4.0	263",
"118	Black Doubt Brewing Company	Breweries	452 Old Mammoth Rd	Mammoth Lakes	93546	37.63938	-118.96724	5.0	135",
"119	Black Gold Brewing Company	Breweries	508 Center St	Taft	93268	35.1412097	-119.4594135	4.0	58",
"120	Black Hammer Brewing	Breweries	544 Bryant St	San Francisco	94107	37.7807	-122.39701	4.5	314",
"121	Black Market Brewing Co. - Temecula	Breweries	41740 Enterprise Cir N	Temecula	92590	33.51854	-117.16959	4.0	273",
"122	BLACK PLAGUE Brewing	Breweries	2550 Jason Ct	Oceanside	92056	33.21564	-117.2668	4.5	137",
"123	Blaker Brewing	Breweries	1063 Montclaire Dr	Ceres	95307	37.5764710901148	-120.980194483906	4.5	52",
"124	Heretic Brewing Company	Breweries	1052 Horizon Dr	Fairfield	94533	38.273647	-122.015358	4.5	261",
